,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB
32504,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:13:52 AM,Devendra Banhart,Twin,Twin,0,0,Rock,Mexican Summer,4526180658054,0,0
32505,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:17:02 AM,L'Impératrice,Heartquake,Heartquake,0,0,,MERLIN - microqlima,3663729252425,0,0
32506,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:20:41 AM,Echo Conscious,Arrived,Emotional Patterns,0,0,Electronic,Harmonious Discord,853566497452,0,0
32507,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:24:37 AM,The Gregory Brothers,Can't Hug Every Cat,Can't Hug Every Cat,0,0,,MERLIN - Gregory Residence,824833004062,0,0
32508,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:26:39 AM,Jeff Coffin,When Birds Sing,Between Dreaming and Joy,0,0,Jazz,Ear Up Records,658580496043,0,0
32509,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:30:49 AM,Isaiah J. Thompson,For Phineas,The Power of the Spirit,0,0,Jazz,ORCHARD - Blue Engine Records,197187730360,0,0
32510,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:38:08 AM,OK Go,This,This,0,0,Rock,ORCHARD - Paracadute,197189156120,1,0
32511,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:42:08 AM,Magic Sam,I Feel So Good (I Wanna Boogie),West Side Soul,0,0,Blues,ORCHARD - Cobra Records,192562656105,0,0
32512,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:46:52 AM,Planningtorock,Beulah Loves Dancing,Powerhouse,0,0,Electronic,DFA Records / Human Level,829732261738,0,0
32513,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:50:53 AM,Don Patterson,Little Angie,Legends Of Acid Jazz vol 2,0,0,Jazz,UMG - Prestige,00888072314368,0,0
32514,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:58:04 AM,Lael Neale,White T-Shirt,White T-Shirt,0,0,,Subpop Record Group,098787160765,0,0
32515,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:59:46 AM,Whimmers,Bingo,In the Midst of Something Worth Seeing,0,0,Folk,1287440 Records DK,197953115506,0,0
32516,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:02:56 AM,Grupo Celeste,Viento,Cumbia Beat Volume 1,0,0,World,Vampisoul,885686020944,0,0
32517,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:06:37 AM,NoSo,Honey Understand,Honey Understand,0,0,,WMG - PTKF,720841133407,0,0
32518,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:10:41 AM,Green Day,The American Dream Is Killing Me,The American Dream Is Killing Me,0,0,,Reprise,093624857518,1,0
32519,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:13:49 AM,The Legendary Pink Dots,I Love You in Your Tragic Beauty,Crushed Velvet Apocalypse,0,0,,Caciocavallo,887396897618,0,0
32520,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:18:20 AM,Joe McCarthy's New York Afro Bop Alliance Big Band,Dance of the Sugar Plum Fairy,The Pan American Nutcracker Suite,0,0,Jazz,Angelface Records,195269179977,0,0
32521,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:23:37 AM,Archie Pelago,Level Design - Sheet Music,Off-Peak OST,0,0,Electronic,Archie Pelago Music,5050580637733,0,0
32522,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:28:37 AM,Gilbert Castellanos,New Delhi,Espérame En El Cielo,0,0,Jazz,Z Note Media,755491251492,0,0
32523,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:34:34 AM,Sunanda Sharma,Jaani Tera Naa,Jaani Tera Naa,0,0,,Mad 4 Music,3614977951738,0,0
32524,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:37:34 AM,Danielle Ponder,Roll The Credits,Roll The Credits,0,0,R&B/Soul,Future Classic,196922425028,0,0
32525,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:41:45 AM,TEKE::TEKE,Gotoku Lemon,Gotoku Lemon,0,0,Rock,MERLIN - Kill Rock Stars,759656074605,0,0
32526,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:45:35 AM,Ebi Soda,Please Don't,Please Don't,0,0,,MERLIN - Tru Thoughts,5060609666118,0,0
32527,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:48:40 AM,Veronica Swift,I'm Always Chasing Rainbows,Veronica Swift,0,0,Jazz,ORCHARD - Mack Avenue Records,673203120266,0,0
32528,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:52:10 AM,Vagabon,Carpenter,Carpenter,0,0,,"Vagabon Music, LLC",075597905151,0,0
32529,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:55:31 AM,Genesis Owusu,Tied Up!,Tied Up!,0,0,Hip Hop/Rap,ORCHARD - Ourness,197188874469,0,0
32530,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:59:37 AM,Yaya Bey,exodus the north star,exodus the north star,0,0,R&B/Soul,Big Dada,5054429173383,0,0
32531,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:03:04 AM,Pachyman,Lovers,Switched-On,0,0,Reggae,ATO Records,880882588151,0,0
32532,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:06:39 AM,Buck Clayton,Way Down Yonder in New Orleans,If Dreams Come True,0,0,Jazz,Synergie OMP,888002911285,0,0
32533,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:13:19 AM,Yeah Yeah Yeahs,Wolf,Cool It Down,0,0,,MERLIN - Secretly Canadian,656605047065,1,0
32534,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:16:56 AM,Beach House,Become,Become,0,0,,Subpop Record Group,098787154566,0,0
32535,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:22:57 AM,Laura Gibson,The Carob Trees,The Carob Trees (Single),0,0,Rock,Barsuk Records,887845167156,0,0
32536,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:31:44 AM,Tanlines,Outer Banks,Outer Banks,0,0,,MERLIN - Merge Records,673855082820,0,0
32537,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:34:54 AM,Rupert Cox,Search Party,Search Party,0,0,,BELIEVE - Albert's Favourites,3617227709530,0,0
32538,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:37:30 AM,Winter,sunday,sunday,0,0,,MERLIN - Bar/None Records,032862910968,0,0
32539,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:41:52 AM,Guthrie Galileo,Black Porcelain,The Angels Will Never Wear White Again,0,0,,DISTROKID,198087431555,0,0
32540,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:45:41 AM,Lael Neale,I'll Be Your Star,I'll Be Your Star,0,0,,Subpop Record Group,098787161465,0,0
32541,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:49:27 AM,Chicago Soul Jazz Collective,Nothing good ever goes away,On the Way to be Free,0,0,Jazz,JMARQ Records,195729365841,0,0
32542,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:54:45 AM,Arooj Aftab,Baghon Main,Vulture Prince,0,0,World,MERLIN - New Amsterdam,798304485615,0,0
32543,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:02:12 AM,Skryabin,Коридори-нори,Стриптиз,0,0,Rock,ORCHARD - Kuzma Skryabin,190374664004,0,0
32544,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:06:09 AM,Junior Santos,Jari's,Conpambiche,0,0,,Junior Santos,195079389115,0,0
32545,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:09:37 AM,The National,Tropic Morning News,Tropic Morning News,0,0,,MERLIN - 4AD,5059638401678,0,0
32546,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:14:17 AM,ZZ Ward,Forget About Us,Forget About Us,0,0,,Dirty Shine Records,193436336352,0,0
32547,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:16:56 AM,Supershy,Take My Time,Change / Take My Time,0,0,Electronic,MERLIN - Beyond The Groove,5056167174363,0,0
32548,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:22:18 AM,The Allergies,Mash Up the Sound,Mash Up the Sound,0,0,,MERLIN - Jalapeno Records,3663729235824,0,0
32549,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:25:53 AM,Jack Black,Peaches,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),0,0,,MERLIN - Back Lot Music,660251010427,0,0
32550,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:27:24 AM,The Dead Shakers,My Life,Some Shapes Reappear,0,0,Rock,DISTROKID - Sticky Shed Tapes,197047345116,0,0
32551,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:29:38 AM,Soema Montenegro,Selva,CIRCULO RADIANTE,0,0,,Mais Um,5050580812970,0,0
32552,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:32:55 AM,Cat Power,She Belongs To Me - Live at the Royal Albert Hall,She Belongs To Me / Ballad Of A Thin Man,0,0,Folk,MERLIN - Domino Recording Co,887829138561,0,0
32553,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:37:43 AM,Bo Dollis,Handa Wanda,30 Years & Still Wild,0,0,,Aim Trading Group,752211501226,0,0
32554,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:40:56 AM,Lee Konitz,Dreams,Spirits,0,0,Jazz,UMG - Fantasy Records,00025218702423,0,0
32555,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:46:09 AM,Sufjan Stevens,Fourth of July - April Base Version,Fourth of July,0,0,,Asthmatic Kitty,729920165506,0,0
32556,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:49:54 AM,Pachyman,Trago Coqueto,Trago Coqueto,0,0,Reggae,ATO Records,880882588151,0,0
32557,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:52:59 AM,Al Green,Perfect Day,Perfect Day,0,0,R&B/Soul,Fat Possum,197189362736,1,0
32558,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:57:58 AM,Vince Clarke,The Lamentations of Jeremiah,The Lamentations of Jeremiah,0,0,Electronic,Mute (Artist Intelligence),5400863144593,0,0
32559,PB & Jam,160100,PBreezy,2024-01-01,9:02:22 AM,Astrocolor,Star Swing,Star Swing,0,0,Jazz,ORCHARD - Amelia Recordings,197187658701,0,0
32560,PB & Jam,160100,PBreezy,2024-01-01,9:05:55 AM,Levi Kz,In the Southern Skies,Do You Believe in Narwhals?,0,0,Rock,Levi Kz,198004816847,0,0
32561,PB & Jam,160100,PBreezy,2024-01-01,9:11:08 AM,Sunny War,No Reason,No Reason,0,0,Folk,"MERLIN - New West Records, LLC",607396653249,0,0
32562,PB & Jam,160100,PBreezy,2024-01-01,9:13:25 AM,Steven Bamidele,Kaleidoscope,Kaleidoscope,0,0,,BELIEVE - Tru Thoughts,5060609666217,0,0
32563,PB & Jam,160100,PBreezy,2024-01-01,9:17:06 AM,Yaeji,Done (Let’s Get It),Done (Let's Get It),0,0,Electronic,MERLIN - XL Recordings,5059638397964,0,0
32564,PB & Jam,160100,PBreezy,2024-01-01,9:20:01 AM,Einar Torfi Einarsson,Desiring-Machines: Partial-object 0.1667,Dutch Masters,0,0,Classical,Challenge Classics,608917263329,0,0
